# from Ensembl Biomart
Associated_Gene_Name	Gene_Start	Gene_End
MT-ND1	3307	4262
MT-ND2	4470	5511
MT-CO1	5904	7445
MT-CO2	7586	8269
MT-ATP8	8366	8572
MT-ATP6	8527	9207
MT-CO3	9207	9990
MT-ND3	10059	10404
MT-ND4L	10470	10766
MT-ND4	10760	12137
MT-ND5	12337	14148
MT-ND6	14149	14673
MT-CYB	14747	15887
RCC2	17409469	17442433
ZNF660	44578223	44599694
PADI6	17374905	17404408
ZNF852	44498970	44510640
SERTAD4	210232799	210246631
HHAT	210328252	210679653
SURF6	133328922	133336546
SLC16A1	112911847	112957013
INPP5D	233059967	233207903
RPL7A	133348362	133351574
OBP2B	133205277	133209250
PADI4	17310905	17366713
PADI3	17249098	17284233
ZKSCAN7	44555193	44594173
PADI1	17205126	17246005
ZNF35	44648727	44660791
ZNF197	44584888	44648471
SURF5	133338471	133348279
ZNF501	44729592	44737079
SURF2	133356700	133361317
AC255560.1	72374621	72447493
RPS6KA1	26529761	26575030
KIAA1143	44737657	44761658
NDUFA10	239892456	240025408
SURF1	133351903	133356824
ZNF502	44712639	44723827
KIR2DS2	54738502	54752797
FAM124A	51222334	51284241
DHX36	154275723	154284039
SLC30A2	26037252	26046133
ZCCHC7	37120539	37358149
GRIN3A	101569353	101738580
ZKSCAN3	28349914	28369177
OTUB2	94026329	94049624
C9orf156	97904489	97922570
LILRA2	54504943	54519583
SOHLH2	36168208	36214615
KIR2DL4	54833799	54844782
CMPK2	6840570	6866635
MBOAT2	8852690	9003813
BTN1A1	26501221	26510422
MCUR1	13786557	13814568
OPRK1	53225716	53251697
AQP8	25215731	25228940
HLA-G	29826967	29831125
HES3	6244192	6245578
CCDC152	42756801	42802360
RALY	33993646	34108308
SEMG2	45221300	45224458
RP11-463D19.2	73688691	73878854
TRIM26	30176913	30205889
ATRN	3471040	3651122
CCNB1	69167010	69178245
ZMYM6NB	34981535	34985353
CBLN4	55997440	56005472
PDCD1LG2	5510570	5571254
C9orf85	71911510	71986054
HLA-B	31396891	31400264
SH2D5	20719732	20732837
OR11H12	18601045	18602129
KIR2DL5A	54476583	54485924
REP15	27696519	27697596
MTIF3	27435643	27450591
TEX22	105398579	105450106
PCSK2	17226107	17484578
KANSL1	45871009	46068204
MIA2	39230231	39253655
AC004754.3	249547	269943
LMNTD1	25409307	25648579
AVP	3082556	3084724
SLC22A7	43295694	43305538
MICB	31574447	31587478
FCAR	54874257	54890481
MPLKIP	40126023	40134659
CCT8L2	16590751	16592810
FBLL1	168529116	168530634
OVOS2	31111652	31208427
ZBTB2	151364117	151391548
POFUT1	32207880	32238667
ARHGDIG	268727	283010
SEPT12	4777669	4788521
SPIC	101475421	101486997
RASSF3	64610513	64697567
CCL14	35983291	35987004
ADPRHL2	36088875	36093932
PRB1	11348080	11351848
HTR1B	77462205	77463464
DLX2	172099439	172102900
TAPBP	33277619	33292309
PVALB	36800684	36819479
UQCR11	1597172	1605490
C1QTNF7	15339818	15446166
RP11-77K12.7	75528532	75545428
KLF11	10042849	10054836
TREX1	48465046	48467645
NEURL2	45888625	45891287
S100A16	153606886	153613145
OSBPL10	31657890	32077580
MANBAL	37289638	37317260
SFTA2	30920912	30921734
OR4A16	55343201	55344187
MED11	4731428	4733610
CDKN2D	10566462	10569059
AP000322.53	34418715	34423966
SLC17A4	25754699	25781191
IFITM1	313506	315272
TUBB	30784111	30789336
LCE6A	152842868	152843983
RNF39	30060156	30065777
GLYATL2	58834065	58904215
SMCP	152878317	152885047
PM20D2	89146050	89165565
ARHGAP40	38601934	38651035
TMEM233	119593459	119643066
LY6G6C	31794930	31798127
HEYL	39624153	39639945
OR2A5	144050368	144051380
SLC39A5	56230049	56237846
GYPC	126655933	126696675
RP11-294C11.3	21651844	21653039
HNRNPA1L2	52640786	52643796
RGL2	33213258	33220928
TRIM21	4384897	4393696
BOK	241558721	241574138
KPNA5	116681187	116741866
C4orf51	145680204	145771032
COMMD2	149738470	149752499
NR6A1	124517275	124771310
PLB1	28457145	28643788
NHLRC1	18121419	18122606
OR4A15	55367884	55368918
HRH1	11137093	11263557
GPRASP2	102712176	102717733
PBX4	19561707	19618916
RNF5	32217742	32220181
LPGAT1	211743457	211830772
ULK4	41246599	41962430
CTAG2	154651972	154653579
RP11-392E22.9	38540569	38577207
SHROOM3	76435100	76783253
STOX2	183853431	184023526
SLC28A2	45252230	45277845
TMEM183A	203007386	203024848
CFD	859643	863630
ZNF550	57535257	57559863
IL2RG	71107404	71112108
PPAPDC3	131289694	131309262
ZSCAN21	100049774	100065038
FKSG61	77416398	77416772
SLC36A4	93144171	93197964
CDK20	87966441	87974753
ZNF44	12224686	12294887
VGLL1	136532152	136556807
FKSG56	92227001	92227375
ERLIN1	100150094	100188334
COL26A1	101362820	101559024
OR4M2	21637909	21638992
BAZ2B	159318979	159616692
FAM218A	164956948	164959122
ASIC2	33013087	34174964
RNF138	32091855	32131561
PRB4	11303340	11351832
AC136352.4	136160	167571
ANKRD29	23598926	23662885
CDK17	96278261	96400560
TRIM61	164954446	164977668
